Week,Białystok,Bronisze,Bydgoszcz,Gdańsk,Gorzów Wlkp.,Kalisz,Kielce,Kraków,Lublin,Poznań,Radom,Rynek4,Rzeszów,Sandomierz,Szczecin,Wrocław,Łódź
2021-W30,,X,,,,X,,,X,X,,,X,X,X,X,X
2021-W31,X,X,,,,X,,,X,X,X,,X,,X,X,X
2021-W32,X,X,,,,X,,,,X,X,,,X,,X,X
2021-W33,X,,,,,,,,X,,,,,,X,,
2021-W34,X,X,,,,X,,,,X,X,,X,X,,X,X
2021-W35,,X,,,,X,X,,X,X,,,,X,X,X,X
2021-W36,X,X,,,,X,,X,,X,,,X,X,X,X,X
2021-W37,,X,,,,X,,,X,X,X,,X,X,X,X,X
2021-W38,X,X,,,,X,,,,X,,,X,X,,X,X
2021-W39,,,,,,,,,,,,,,,X,,
2021-W40,X,X,,,,,,,,X,X,,,X,X,,X
2021-W41,X,X,,,,X,,X,X,X,,,X,,X,X,X
2021-W42,X,X,,,,X,,X,X,X,,,X,X,X,X,X
2021-W43,X,X,,,,X,,X,X,X,,,X,X,X,X,X
2021-W44,X,X,,,,X,,X,X,X,,,X,X,,X,X
2021-W45,X,X,,,,X,,,,X,,,X,,X,X,X
2021-W46,X,X,,,,X,,X,X,X,,,X,X,,X,X
2021-W47,,X,,,,X,,X,,X,,,X,X,,X,X
2021-W48,,X,,,X,X,,X,X,X,,,X,,,X,X
2021-W49,,X,,X,,X,,X,,X,,,X,,,X,X
2021-W50,,X,,X,,X,,X,,X,,,X,,,X,X
2021-W51,,X,,,,X,,X,,X,,,X,,,X,
2021-W52,,X,,,,X,,,X,X,X,,,,,,
2022-W01,,,,X,,,,,X,X,,,,,,X,X
2022-W02,,X,,,X,X,,,,X,X,,,,X,X,X
2022-W03,,X,,,,X,,,,X,,,,,X,,X
2022-W04,,X,,,,,,,,X,X,,,,,,X
2022-W06,,X,,,,X,,,,X,,,,,,,X
2022-W07,,X,,,,,,X,X,X,,,,,X,,X
2022-W08,,X,,,,X,,,,X,,,,,X,,X
2022-W09,,X,,,,X,,X,X,X,,,,,X,,X
2022-W10,,X,,,,X,,,X,X,,,,,X,X,X
2022-W11,,X,,,,X,,,X,,,,,,X,,
2022-W12,,X,,,,X,,X,X,X,,,,,X,X,X
2022-W13,,X,,,X,X,,,X,X,,,,,X,X,X
2022-W14,,X,,,,X,,,X,,,,X,,,,X
2022-W15,,X,,,,X,,,,X,,,X,,X,X,X
2022-W16,,X,,,,X,,,X,X,,,,,,,X
2022-W17,,X,,,,X,,,X,,,,,,X,,X
2022-W18,,X,,,,X,,,X,X,,,X,,X,,
2022-W19,,X,,,,X,,,X,X,,,,,,X,X
2022-W20,,X,,,,X,,X,X,X,,,,,X,,X
2022-W21,,X,,X,,X,,,X,,X,,,,X,,X
2022-W22,,X,,X,,X,,,,X,X,,X,,X,,X
2022-W23,,X,,,X,X,,,X,X,X,,X,,X,,X
2022-W24,,X,,,,X,,,,X,,,X,,X,,X
2022-W25,,X,,,,X,,X,X,X,X,,,,X,,X
2022-W26,,X,,,,X,,,X,,,,,,X,,X
2022-W27,,X,,,X,X,,,,X,X,,,,,,X
2022-W28,,X,,,,X,,,,X,X,,,,X,X,X
2022-W29,,X,,,,,,,X,X,,,,,,,
2022-W30,,X,,,,X,,,X,X,,,,,,,X
2022-W31,,X,,,,X,,,,X,X,,,,X,,X
2022-W32,,X,,,X,X,,,,X,X,,,,X,X,X
2022-W33,,X,,,,X,,,X,X,X,,X,,X,X,X
2022-W34,,X,,,,X,,,,X,X,,X,,X,X,X
2022-W36,,X,X,,,X,,,X,X,X,,,X,,X,X
2022-W37,,X,,X,X,X,,,X,X,X,,,,X,X,X
2022-W38,,X,,,,X,,,X,X,,,X,,X,,
2022-W39,,X,,X,,X,,X,X,X,X,,,,X,X,X
2022-W40,,X,,,,X,,X,X,X,,,,,X,,X
2022-W41,,X,,,,X,,,X,X,X,,,,X,X,X
2022-W42,,X,,,,X,,X,X,X,X,,,,X,X,X
2022-W43,X,X,,,,X,,X,,X,X,,X,,X,X,X
2022-W44,,X,,,,X,,,,X,X,,,,X,,X
2022-W45,,X,,,,X,,,X,X,X,,X,,X,X,X
2022-W46,,X,,,,X,,,X,X,X,,,,X,X,X
2022-W47,,X,X,,,X,,,,X,X,,,,,X,X
2022-W48,,X,X,,X,X,,,X,X,X,,,,,X,X
2022-W49,,X,,X,,X,,,,X,X,,,,,X,X
2022-W50,X,X,,,,X,,,,X,X,,,,,X,X
2022-W51,,X,,,,X,,,,X,X,,,,,X,X
2022-W52,,X,,,,X,,,X,X,X,,,,,,X
2023-W02,,X,,,X,X,,,X,,,,,,,,X
2023-W03,,X,,,,X,,,X,X,X,,X,,,X,X
2023-W04,,X,,,,X,,,,X,X,,,,,X,X
2023-W05,X,X,,,,X,,,X,X,X,,X,,,X,X
2023-W06,,,,X,,X,,,X,X,X,,X,,,X,X
2023-W07,,X,,,,X,,X,X,X,X,,,,,X,X
2023-W08,X,X,,,,X,,,,X,X,,X,,,,
2023-W09,,X,,X,,X,,,X,X,X,,X,,,,X
2023-W10,,X,,,,X,,,X,X,X,,X,,,,X
2023-W11,,X,,,,X,,,X,X,X,,,,,X,X
2023-W12,,X,,,,X,,,,X,X,,X,,,X,X
2023-W13,,X,,,,X,,,,X,X,,X,,,X,X
2023-W14,,X,,,,X,,,,X,X,,,,,X,X
2023-W15,X,X,,,,X,,,,X,X,,X,,,,X
2023-W16,,X,,,,X,,,,X,,,,,,X,X
2023-W18,,,,,X,,,,,,X,,X,,,,X
2023-W19,,,,,,,,,,,,,,,,X,
2023-W20,,X,,,,X,,,,X,,,,,,X,X
2023-W21,,X,,,,X,,,,X,X,,,,,X,X
2023-W22,,X,,,,X,,X,,X,X,,,,,X,
2023-W23,,X,,,,X,,,,X,,,,,,X,X
2023-W24,,X,,,X,X,,,,X,X,,,,,,X
2023-W25,,X,,,,X,,,,X,,,X,,,X,X
2023-W26,,X,,,,X,,,X,X,X,,X,,,X,X
2023-W27,,X,,,,X,,,,X,X,,,,,X,X
2023-W28,,X,,,,X,,X,X,X,X,,,,,X,X
2023-W29,,X,,,,X,,X,,X,,,,,,X,X
2023-W30,,X,,,,X,,X,,X,X,,,,,X,X
2023-W31,,X,,,,X,,X,,X,X,,,,,X,X
2023-W32,,X,,,,X,,X,X,X,,,,,,,X
2023-W33,,X,,,,X,,,,X,,,,,,X,X
2023-W34,,X,,,,X,,X,X,X,,,,,,X,X
2023-W35,,X,,X,,X,,,,X,,,,,,X,X
2023-W36,,X,,,,X,,,,X,,,X,,,X,X
2023-W37,,X,,,,X,,X,X,X,,,,,,X,X
2023-W38,,X,,,,X,,,,X,X,,,,,X,X
2023-W39,,X,,,,X,,X,X,X,X,,,,,X,X
2023-W40,,X,,,,X,,,,X,,,,,,X,X
2023-W41,,X,,,,X,,,,X,,,X,,,,X
2023-W42,,X,,,,X,,,,X,,,X,,,,X
2023-W43,,X,,,,X,,,X,X,X,,X,,,,X
2023-W44,,X,,,,X,,,,X,X,,,,,,X
2023-W45,,X,,,,X,,,,X,,,X,,,X,X
2023-W46,,X,,,,X,,,,X,,,X,,,X,X
2023-W47,,X,,X,,X,,,X,X,X,,X,,,,X
2023-W48,,X,,,,X,,,,X,X,,X,,,,X
2023-W49,,X,,,,X,,,,X,,,,,,,X
2023-W50,,X,,,,X,,,,X,,,,,,X,X
2023-W51,,X,,,X,X,,,,X,,,X,,,X,X
2023-W52,,,,,,,,,,,,,,,,X,X
2024-W01,,X,,,,X,,,,X,,,,,,,
2024-W02,,X,,,,X,,,,X,X,,,,,X,X
2024-W03,,X,,,,X,,,,X,,,,,,X,X
2024-W04,,X,,,,X,,,,X,,,,,,X,X
2024-W05,,X,,,,X,,,,X,,,,,,X,X
2024-W06,,X,,,,X,,,X,X,,,X,,,X,X
2024-W07,,X,,,,X,,,,X,,,X,,,X,X
2024-W08,,X,,,,X,,,,X,,,X,,,X,X
2024-W09,,X,,,,X,,,X,,,,,,,X,X
2024-W10,,X,,,,X,,,X,X,,,,,,X,X
2024-W11,,X,,,,X,,,,X,X,,,,,X,X
2024-W12,,X,,,,X,,,,X,,,,,,X,
2024-W13,,X,,,,X,,X,X,X,X,,,,,,X
2024-W14,,X,,,,X,,,X,X,X,,,,,,X
2024-W15,,X,,,,X,,X,X,X,,,X,,,,X
2024-W16,,X,,,,X,,X,X,X,,,,,,,X
2024-W17,,X,,,,X,,X,X,X,,,,,,X,X
2024-W19,X,X,,,,X,,X,X,X,,,,,,,X
2024-W20,,X,,,,X,,,,X,,,,,,X,X
2024-W21,X,X,,,,X,,X,X,X,,,,,,,X
2024-W22,,X,,,,X,,,,X,,,X,,,X,X
2024-W23,,X,,,,X,,,,X,,,,,,X,X
2024-W24,,X,,,,X,,,X,X,,,,,,X,X
2024-W25,,X,,,,X,,X,,X,,,,,,X,X
2024-W26,,X,,,,X,,X,X,X,,,,,,,X
2024-W27,,X,,,,X,,X,X,X,,,,,,,X
2024-W28,,X,,,,X,,X,,X,,,X,,,,X
2024-W29,,X,,,,X,,X,,X,,,,,,,X
2024-W30,,X,,,,X,,,X,X,,,,,,,X
2024-W31,,X,,,,X,,,X,X,,,X,,,X,X
2024-W32,,X,,,,X,,,,X,,,X,,,X,X
2024-W33,,X,,,,X,,,,X,,,,,,X,X
2024-W34,,X,,,,X,,,X,X,,,X,,,X,X
2024-W35,X,X,,,,X,,X,X,X,,,,,,X,X
2024-W36,,X,,,,X,,,X,X,X,,,,,X,X
2024-W37,,X,,,,X,,,X,X,X,,X,,,,X
2024-W38,,X,,,,,,,,X,X,,,,,X,X
2024-W39,,X,,,,X,,,,X,X,,,,,,X
2024-W40,,X,,,,X,,,,X,X,,,,,X,X
2024-W41,,X,,,,X,,,,X,X,,,,,X,X
2024-W42,,X,,,,X,,,X,X,,,X,,,,X
2024-W43,,X,,,,X,,,X,X,,,X,,,X,X
2024-W44,,X,,,,X,,,,X,X,,,,,X,X
2024-W45,,X,,,,X,,,,X,,,,,,X,X
2024-W46,,X,,,,X,,,X,X,,,,,,,X
2024-W47,,X,,,,X,,,,X,,,X,,,,X
2024-W48,,X,,,,X,,X,X,X,,,,,,X,X
2024-W49,,X,,,,X,,,,X,,,X,,,X,X
2024-W50,,X,,,,X,,,X,X,X,,X,,,X,X
2024-W51,,X,,,,X,,,X,X,X,,X,,,,X
2024-W52,,,,,,,,,,X,,,,,,,
2025-W01,,X,,,,X,,,,,,X,,,,X,X
2025-W02,,X,,,,X,,,X,X,X,,X,,,,X
2025-W03,,X,,,,X,,,,X,X,,X,,,,X
2025-W04,,X,,,,X,,,,X,X,,X,,,,X
2025-W05,,X,,,,X,,,X,X,X,,X,,,X,X
2025-W06,,X,,,,X,,,X,X,,,X,,,,X
2025-W07,X,X,,,,X,,,,X,,,X,,,X,X
2025-W08,,X,,,,X,,,,X,,,,,,,X
2025-W09,,X,,,,X,,,,X,,,,,,,X
2025-W10,,X,,,,X,,,,X,,,X,,,,X
2025-W11,,X,,,,X,,,,X,,,X,,,,X
2025-W12,,X,,,,X,,,,X,,,,,,X,X
2025-W13,X,X,,,,X,,,X,X,,,X,,,,X
2025-W14,,X,,,,X,,,,X,,,X,,,X,X
2025-W15,,X,,,,X,,,,X,,,X,,,X,X
2025-W16,,X,,,,X,,,,X,,,,,,X,X
2025-W17,,X,,,,X,,,X,X,,,,,,,X
2025-W18,,,,,,X,,,,,,,,,,,X
2025-W19,,X,,,,X,,,X,X,,,,,,,X
2025-W20,,X,,,,X,,,X,X,X,,,,,,X
2025-W21,,X,,,,X,,,X,X,,,,,,,X
2025-W22,,X,,,,X,,X,,X,,,,,,X,X
2025-W23,,X,,,,X,,,X,X,,,,,,,X
2025-W24,,X,,,,X,,,X,X,,,,,,,X
2025-W25,,X,,,,X,,X,X,X,,,,,,X,X
2025-W26,,X,,,,X,,,X,X,,,,,,X,X
2025-W27,,X,,,,X,,,X,X,,,,,,,X
2025-W28,,X,,,,X,,,X,X,,,,,,X,X
2025-W29,,X,,,,X,,,X,X,,,,,,X,X
2025-W30,,X,,,,X,,,X,X,,,,,,X,X
2025-W31,,X,,,,X,,,X,X,,,,,,X,X
2025-W32,,X,,,,X,,,X,X,,,,,,X,X
2025-W33,,X,,,,X,,,X,X,,,,,,X,X
2025-W34,,X,,,,X,,,X,X,,,,,,,X
2025-W35,,X,,,,X,,,X,,,,,,,,X
2025-W36,,X,,,,X,,,X,X,,,,,,,X
2025-W37,,X,,,,X,,,X,X,,,X,,,,X
2025-W38,,X,,,,X,,X,,X,,,,,,X,X
2025-W39,,X,,,,X,,X,,X,,,,,,X,X
2025-W40,,X,,,,X,,X,X,X,,,X,,,X,X
2025-W41,,X,,,,X,,,,X,,,,,,,X
2025-W42,,X,,,,X,,,X,X,,,X,,,X,X
2025-W43,,X,,,,X,,,,X,,,X,,,,X
2025-W44,,X,,,,X,,X,X,X,,,,,,X,X
2025-W45,,X,,,,X,,X,X,X,,,,,,,X
2025-W46,,X,,,,X,,,,X,,,,,,,X
2025-W47,,X,,,,X,,,,X,,,,,,X,X
2025-W48,,X,,,,X,,,,X,,,,,,X,X
2025-W49,,X,,,,X,,,,X,,,,,,X,X
2025-W50,,X,,,,X,,,,X,,,,,,X,X
2025-W51,,X,,,,X,,,X,X,,,,,,,X
2026-W01,,X,,,,X,,,,X,,,,,,,X
2026-W02,,X,,,,X,,,X,X,,,,,,,X
2026-W03,,X,,,,X,,,,X,,,,,,,X
2026-W04,,X,,,,X,,,,,,,X,,,,X
2026-W05,,X,,,,X,,,,X,,,,,,,X
2026-W07,,X,,,,X,,,,X,,,,,,X,X
2026-W08,,X,,,,X,,,,X,,,,,,X,X
2026-W09,,X,,,,X,,,,X,,,,,,X,X
2026-W10,,X,,,,X,,,X,X,,,,,,,X
2026-W11,,X,,,,X,,,X,X,,,X,,,,X
2026-W12,,X,,,,X,,,X,X,,,,,,,X
2026-W13,,X,,,,X,,,,X,,,X,,,,X
2026-W14,,X,,,,X,,,X,X,,,,,,,X
2026-W15,,X,,,,X,,,,X,,,,,,,X
2026-W16,,X,,,,X,,,,X,,,X,,,,X
2026-W17,,X,,,,X,,,,X,,,X,,,,
2026-W18,,X,,,,X,,,,X,,,,,,,
2026-W19,,X,,,,X,,X,,X,,,X,,,X,
2026-W20,,X,,,,X,,,X,X,,,,,,,
2026-W21,,X,,,,,,X,,,,,,,,,X
2026-W22,,X,,,,X,,,,X,,,,,,,X
2026-W23,,X,,,,X,,,,X,,,,,,X,X
2026-W24,,X,,,,X,,,X,X,,,,,,,X
